csalt,Lfraction,pH,pKa,time,mean,mean,err_mean,err_mean,n_eff,n_eff,tau_int,tau_int
value,value,value,value,value,alpha,pressure,alpha,pressure,alpha,pressure,alpha,pressure
0.05,0.303,5,4,series,0.3130902777777778,0.006637673197545152,0.002348016788745247,0.0013057389029067687,17.500047448881645,90.31837090146261,25.714215994228017,4.982375075174151
0.01,0.366,4,4,series,0.09690972222222223,0.001441469395807051,0.0013700323136557884,0.0007015271738029402,25.341153861183148,94.24725327642176,17.75767601092228,4.774674957263725
0.01,0.557,6,4,series,0.40944444444444444,0.0008973248364742591,0.002686687336756199,0.00028626814053342827,17.001784654504764,59.07799341029799,26.46780965377016,7.617049497340954
0.05,0.51,5,4,series,0.3374652777777778,0.0018863979052295033,0.002469214964174571,0.00024059635451635818,19.06727554652686,93.48485942962414,23.600644932820035,4.813613699110119
