time,alpha,pressure
4082.0000000426803,0.3921875,0.00036499039922930883
4092.0000000428986,0.3953125,8.975779910861546e-05
4102.000000043116,0.396875,0.0010055773366355572
4112.000000043335,0.3890625,-0.0007715054700716869
4122.000000043553,0.4,0.0022068316690098603
4132.000000043771,0.3953125,-0.00027404684533329074
4142.0000000439895,0.3890625,0.0038149090885986766
4152.000000044208,0.3859375,0.004083517197976683
4162.000000044426,0.39375,-0.00031514263751571044
4172.000000044644,0.396875,0.0038428126740801746
4182.000000044863,0.4140625,0.002295048194401955
4192.000000045081,0.4078125,0.005078253970089698
4202.000000045299,0.409375,0.0005379446158911607
4212.0000000455175,0.40625,0.00024285745682037075
4222.000000045736,0.4109375,-0.0005489343817979694
4232.000000045954,0.403125,0.0008397356128196125
4242.000000046172,0.40625,0.0009201663537082064
4252.000000046391,0.4046875,-0.00010794922356432153
4262.000000046609,0.3984375,0.0008260050674024056
4272.000000046827,0.396875,-0.0010016599501987498
4282.000000047045,0.3921875,0.0037744757257149107
4292.000000047264,0.3984375,0.0022381752319531978
4302.000000047482,0.403125,-0.0005404661785675507
4312.0000000477,0.3984375,0.0019567021348493043
4322.000000047919,0.4078125,0.0038235590241885646
4332.000000048137,0.40625,-0.0009551330907727352
4342.000000048355,0.4125,-0.00039836221176166986
4352.000000048573,0.4046875,-0.0021133834192513493
4362.000000048792,0.409375,-0.0012468615165295864
4372.00000004901,0.415625,-0.0015427437847578193
4382.000000049228,0.4109375,0.0013417683008758322
4392.0000000494465,0.4125,0.0017053975357111649
4402.000000049665,0.409375,0.0030148047876002843
4412.000000049883,0.40625,-0.00270723941114844
4422.000000050101,0.4015625,0.006078028581797966
4432.00000005032,0.3984375,0.002275925515133006
4442.000000050538,0.3875,0.0020337096126363534
4452.000000050756,0.3875,0.001652823981434018
4462.000000050974,0.390625,-0.0018523064752998739
4472.000000051193,0.3828125,-0.0012821177788007747
4482.000000051411,0.3890625,0.0033761126888831854
4492.000000051629,0.384375,0.0026795780087570304
4502.000000051848,0.3921875,0.0042517381329556375
4512.000000052066,0.3875,0.004281254409079208
4522.000000052284,0.3890625,0.0035150735736647256
4532.000000052502,0.4015625,0.0004952259103612795
4542.000000052721,0.4,0.00279333599561581
4552.000000052939,0.3953125,-0.0015716807689500787
4562.000000053157,0.4046875,0.0021942090985900067
4572.0000000533755,0.4,0.0027298238255471104
4582.000000053594,0.4,0.0007487899088797675
4592.000000053812,0.40625,0.003240796283508576
4602.00000005403,0.4140625,-0.001026754904132663
4612.000000054249,0.409375,0.003913789269131982
4622.000000054467,0.409375,0.0017390190902873987
4632.000000054685,0.40625,0.003389106715033901
4642.0000000549035,0.403125,0.002577307680653623
4652.000000055122,0.4046875,-0.0021169435311988384
4662.00000005534,0.4078125,0.002793546071384313
4672.000000055558,0.4078125,-0.0021410346467737626
4682.000000055777,0.415625,0.0016358654144971341
4692.000000055995,0.4171875,0.001841379329859525
4702.000000056213,0.4109375,0.00020203919973331495
4712.000000056431,0.4265625,0.0012460490849767693
4722.00000005665,0.4234375,0.0017307700875192303
4732.000000056868,0.4296875,-0.0014226227654321629
4742.000000057086,0.4296875,0.001285856416274927
4752.0000000573045,0.4265625,-0.00023221444410965585
4762.000000057523,0.4171875,0.002027995257783206
4772.000000057741,0.41875,0.00199168188908604
4782.000000057959,0.415625,0.002651702462944648
4792.000000058178,0.4234375,0.0009439421439512492
4802.000000058396,0.41875,0.002341744791181546
4812.000000058614,0.4203125,0.003451878472839611
4822.0000000588325,0.41875,-0.0010234162003669187
4832.000000059051,0.4203125,-0.0007776730822806373
4842.000000059269,0.4109375,0.0007165328856179685
4852.000000059487,0.4125,-0.002546639058536727
4862.000000059706,0.421875,0.0008722695075175038
4872.000000059924,0.41875,-0.00042043966744822743
4882.000000060142,0.415625,-0.00330648696701416
4892.00000006036,0.4234375,0.0009414815580792917
4902.000000060579,0.4125,-0.006169263831269538
4912.000000060797,0.41875,-0.001700417830375587
4922.000000061015,0.415625,0.0027615962624003513
4932.000000061234,0.4203125,0.0018433387774753436
4942.000000061452,0.421875,0.002484782348788227
4952.00000006167,0.4203125,0.002555373496495365
4962.000000061888,0.41875,-0.00333011949604362
4972.000000062107,0.425,0.004069055665510145
4982.000000062325,0.425,-0.00037257808172680857
4992.000000062543,0.421875,-0.0002404356532255738
5002.0000000627615,0.41875,7.650438935894058e-05
5012.00000006298,0.4234375,0.0011598445520450893
5022.000000063198,0.421875,-0.0040981157978188945
5032.000000063416,0.4140625,0.0011824036594570585
5042.000000063635,0.4109375,-0.0009128256914903895
5052.000000063853,0.409375,0.0018052077977814675
5062.000000064071,0.403125,-0.0007615639302759686
5072.000000064289,0.40625,0.0020542352370697225
